,repo_id,repo_name,data_collection_date,event_type,event_datetime,contributor_name
1015945,25859,llvm-project,2023-02-28 16:46:00,commit,2018-05-30 04:03:39-05:00,liuguangqiang
1017914,26091,root_numpy,2023-02-28 16:46:00,commit,2012-12-16 00:00:17-06:00,piti118
1019625,25861,iminuit,2023-02-28 16:46:00,commit,2012-05-09 01:24:37-05:00,piti118
1030622,25859,llvm-project,2023-02-28 16:46:00,commit,2012-03-04 22:47:34-06:00,jimingham
1031400,25831,cp2k,2023-02-28 16:46:00,commit,2016-04-26 10:10:32-05:00,alazzaro
1031964,25859,llvm-project,2023-02-28 16:46:00,commit,2019-07-24 04:20:14-05:00,weliveindetail
1032247,25997,draft,2023-02-28 16:46:00,commit,2022-11-16 00:49:13-06:00,burblebee
1032453,25918,sage,2023-02-28 16:46:00,commit,2014-04-15 23:49:49-05:00,cheuberg
1032917,25859,llvm-project,2023-02-28 16:46:00,commit,2014-03-31 12:09:09-05:00,majnemer
1039620,25859,llvm-project,2023-02-28 16:46:00,commit,2014-08-30 01:18:20-05:00,majnemer
1041221,25939,ompi,2023-02-28 16:46:00,commit,2013-07-16 11:02:33-05:00,hjelmn
1041536,25975,swift-k,2023-02-28 16:46:00,commit,2008-09-30 11:46:45-05:00,hategan
1042710,25975,swift-k,2023-02-28 16:46:00,commit,2015-03-23 01:25:08-05:00,hategan
1044473,25859,llvm-project,2023-02-28 16:46:00,commit,2016-08-30 15:20:24-05:00,majnemer
1045530,25975,swift-k,2023-02-28 16:46:00,commit,2014-07-04 02:19:23-05:00,hategan
1048275,25975,swift-k,2023-02-28 16:46:00,commit,2010-03-15 15:01:06-05:00,hategan
1052058,26056,tusd,2023-02-28 16:46:00,commit,2018-05-05 14:18:47-05:00,acj
1058150,25975,swift-k,2023-02-28 16:46:00,commit,2007-10-01 14:13:58-05:00,hategan
1058466,25975,swift-k,2023-02-28 16:46:00,commit,2007-09-27 11:54:10-05:00,hategan
1068477,25886,mplhep,2023-02-28 16:46:00,commit,2020-04-17 08:54:07-05:00,andrzejnovak
1077841,25859,llvm-project,2023-02-28 16:46:00,commit,2012-11-27 21:04:10-06:00,hfinkel
1079968,25989,Block,2023-02-28 16:46:00,commit,2014-03-25 09:45:46-05:00,yangjunpro
1086529,25939,ompi,2023-02-28 16:46:00,commit,2019-05-19 06:39:11-05:00,alex-anenkov
1087409,25833,GOMC,2023-02-28 16:46:00,commit,2017-08-01 14:49:35-05:00,YounesN
